Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
16,eux,them
17,ville,city
18,parlé,speak
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
31,étaient,were
32,attention,Warning
33,voici,here is
34,pourrais,could
35,affaire,case
36,donner,give
37,type,type
38,leurs,their
39,donné,given
40,train,train
41,corps,body
42,endroit,place
43,yeux,eyes
44,façon,way
45,écoute,listen
46,dont,whose
47,trouve,find
48,premier,first
49,perdu,lost
50,main,hand
52,côté,side
53,vieux,old
54,tiens,here
55,matin,morning
56,tellement,so much
57,enfant,child
59,venu,came
60,suite,after
61,pardon,sorry
62,venez,come
63,devant,in front of
64,vers,towards
65,chambre,bedroom
66,mis,placed
67,belle,beautiful
68,aimerais,would like to
69,aujourd'hui,today
70,mari,husband
71,cause,cause
72,enfin,finally
73,espère,hope
74,eau,water
75,attendez,Wait
76,parti,left
77,nouvelle,new
78,boulot,job
79,arrêter,Stop
82,compte,account
83,donne,given
84,loin,far
85,fin,end
86,croire,believe
87,gros,large
88,plutôt,rather
89,aura,will have
90,filles,girls
91,jouer,to play
